patent_code,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-6054913-A,Current flow switching device for combined function magnetic field production ,General Atomics,James A. Leuer,1997-10-28,1997-10-28,2000-04-25,2000-04-25,https://patents.google.com/patent/US6054913A/en,https://patentimages.storage.googleapis.com/dc/3e/0b/7b7062b86fcd3a/US6054913-drawings-page-2.png
US-6040566-A,Device to control the aiming and focusing of laser systems on a target ,Thomson-Csf,"Jacques Rioland, Paul Thibout, Patrice Jano",1997-01-31,1998-01-20,2000-03-21,2000-03-21,https://patents.google.com/patent/US6040566A/en,https://patentimages.storage.googleapis.com/c8/d7/39/cefca2fa6b8b1a/US6040566-drawings-page-4.png
JP-H10211572-A,Assembly method by diffusion brazing between beryllium part and copper or copper aloy part and heat resistant assembly by the method ,"Commiss Energ Atom, コミツサリア  タ  レネルジー  アトミーク","Antonin Francois Saint, フランソワ・サン−アントニー, Gerard Bourgeois, ジェラール・ブルジョア, Marois Gilles Le, マルワ ギレ・レ, Helene Burlet, ヘレン・ブルレ",1997-01-29,1998-01-27,1998-08-11,,https://patents.google.com/patent/JPH10211572A/en,
EP-0856374-A1,Method for assembling a beryllium workpiece with a copper workpiece by diffusion welding and refractory assembly obtained ,Commissariat A L'energie Atomique,"François Saint-Antonin, Gérard Bourgeois, Gilles Le Marois, Hélène Burlet",1997-01-29,1998-01-27,1998-08-05,,https://patents.google.com/patent/EP0856374A1/en,
GB-2321813-A,Laser beam focussing and aligning ,Thomson Csf,"Jacques Rioland, Paul Thibout, Patrice Jano",1997-01-31,1998-01-29,1998-08-05,,https://patents.google.com/patent/GB2321813A/en,
GB-9801955-D0,A device to control the aiming and focusing of laser systems on a target ,Thomson Csf,,1997-01-31,1998-01-29,1998-03-25,,https://patents.google.com/patent/GB9801955D0/en,
JP-H10232288-A,Apparatus for controlling aiming and focusing of laser system on target ,"Thomson Csf, トムソン−セーエスエフ","Jacques Rioland, ジヤツク・リオラン, Paul Thibout, ポール・チブ, Patrice Jano, パトリス・ジヤノ",1997-01-31,1998-01-29,1998-09-02,,https://patents.google.com/patent/JPH10232288A/en,
GB-2321813-B,A device to control the aiming and focusing of laser systems on a target ,Thomson Csf,"Jacques Rioland, Paul Thibout, Patrice Jano",1997-01-31,1998-01-29,2000-10-25,2000-10-25,https://patents.google.com/patent/GB2321813B/en,
JP-H11238947-A,"Holography nuclear fusion reactor bin also using gravitational wave utilizing semiconductor laser array variable oscillating hologram bin by semiconductor laser array variable oscillation hologram, and gravitational-wave holography method and device thereof ","Matsunaga Shigeko, 松永  誠子","Jun Toyama, 潤 外山",1998-02-18,1998-02-18,1999-08-31,,https://patents.google.com/patent/JPH11238947A/en,
DE-19807165-A1,"Working medium for fusion reactors, comprises silanes ",Heinz-Guenther Knief,Heinz-Guenther Knief,1998-02-20,1998-02-20,2003-05-08,,https://patents.google.com/patent/DE19807165A1/en,
US-6052424-A,Method of welding for fabricating double-wall structures ,Japan Atomic Energy Research Institute,"Koichi Koizumi, Masataka Nakahira, Yutaka Itou, Eisuke Tada",1997-03-18,1998-03-13,2000-04-18,2000-04-18,https://patents.google.com/patent/US6052424A/en,https://patentimages.storage.googleapis.com/fc/79/5d/f8b6440ec2af01/US6052424-drawings-page-2.png
DE-19812619-A1,Acceleration of charged particles in electromagnetic field ,Alexander Oberhof,Alexander Oberhof,1998-03-23,1998-03-23,1999-09-30,,https://patents.google.com/patent/DE19812619A1/en,
US-6285919-B1,Robotic system for retractable teleoperated arm within enclosed shell with capability of operating within a confined space ,"U T Battelle, Llc","John David Randolph, Peter Downes Lloyd, Lonnie Joe Love, Dong Soo Kwon, James Allen Blank, Hurley Thomas Davis",1998-07-07,1998-07-07,2001-09-04,2001-09-04,https://patents.google.com/patent/US6285919B1/en,https://patentimages.storage.googleapis.com/52/22/77/0d8918007ead71/US6285919-drawings-page-2.png
PT-978308-E,PROCESS AND APPARATUS FOR THE EXTRACTION OF HYDROGEN ISOTOPES FROM A LIQUID EUTECTIC LIGHT OF PB-17LI IN A FUSAO REACTOR ,Europ Economic Community,Luis Angel Sedano,1998-08-03,1998-08-03,2002-07-31,,https://patents.google.com/patent/PT978308E/en,
EP-0978308-B1,Method and apparatus for extracting hydrogen isotopes from a liquid Pb-17Li eutectic in a fusion reactor ,European Community,Luis Angel Sedano,1998-08-03,1998-08-03,2002-03-20,2002-03-20,https://patents.google.com/patent/EP0978308B1/en,https://patentimages.storage.googleapis.com/bc/68/02/1333d88a043234/00090001.png
AT-E214629-T1,METHOD AND APPARATUS FOR EXTRACTING HYDROGEN ISOTOPES FROM A LIQUID PB-17LI EUTECTIC IN A FUSION REACTOR ,Europ Economic Community,Luis Angel Sedano,1998-08-03,1998-08-03,2002-04-15,2002-04-15,https://patents.google.com/patent/ATE214629T1/en,
DE-69804295-T2,Method and device for extracting hydrogen isotopes from a liquid Pb-17Li eutectic in a fusion reactor ,Europ Community Luxemburg Luxe,Luis Angel Sedano,1998-08-03,1998-08-03,2002-10-17,2002-10-17,https://patents.google.com/patent/DE69804295T2/en,
DK-0978308-T3,Method and apparatus for extracting hydrogen isotopes from a liquid Pb-17Li eutectic in a fusion reactor ,Europ Economic Community,Luis Angel Sedano,1998-08-03,1998-08-03,2002-07-01,2002-07-01,https://patents.google.com/patent/DK0978308T3/en,
ES-2183264-T3,METHOD AND APPARATUS FOR THE EXTRACTION OF HYDROGEN ISOTOPES FROM A LIQUID EUTECTIC OF PB-17LI IN A FUSION REACTOR. ,Europ Economic Community,Luis Angel Sedano,1998-08-03,1998-08-03,2003-03-16,2003-03-16,https://patents.google.com/patent/ES2183264T3/en,
EP-0978308-A1,Method and apparatus for extracting hydrogen isotopes from a liquid Pb-17Li eutectic in a fusion reactor ,European Community,Luis Angel Sedano,1998-08-03,1998-08-03,2000-02-09,,https://patents.google.com/patent/EP0978308A1/en,https://patentimages.storage.googleapis.com/53/48/37/f4fd542408ce84/00060001.png
DE-69804295-D1,Method and device for extracting hydrogen isotopes from a liquid Pb-17Li eutectic in a fusion reactor ,Europ Community Luxemburg Luxe,Luis Angel Sedano,1998-08-03,1998-08-03,2002-04-25,2002-04-25,https://patents.google.com/patent/DE69804295D1/en,
AU-1141699-A,Method for generating energy by controlled plasma-induced nuclear fusion and device for the implementation of said method ,Jurgen Andra,Jurgen Andra,1997-09-20,1998-09-11,1999-04-12,,https://patents.google.com/patent/AU1141699A/en,
WO-9916291-A1,Method for generating energy by controlled plasma-induced nuclear fusion and device for the implementation of said method ,Andrae Juergen,Jürgen ANDRÄ,1997-09-20,1998-09-11,1999-04-01,,https://patents.google.com/patent/WO1999016291A1/en,
EP-1000527-A1,Method for generating energy by controlled plasma-induced nuclear fusion and device for the implementation of said method ,Jürgen ANDRÄ,Jürgen ANDRÄ,1997-09-20,1998-09-11,2000-05-17,,https://patents.google.com/patent/EP1000527A1/en,
US-6000223-A,Method and apparatus for production of heat and/or magnetic field through photon or positron infusion ,Meyer; Michael S.,Michael S. Meyer,1998-09-21,1998-09-21,1999-12-14,1999-12-14,https://patents.google.com/patent/US6000223A/en,https://patentimages.storage.googleapis.com/43/96/dc/b8b49d8a259f64/US6000223-drawings-page-2.png
US-5991351-A,"Method and system to directly produce electrical power within the lithium blanket region of a magnetically confined, deuterium-tritium (DT) fueled, thermonuclear fusion reactor ",U.S. Department Of Energy,Robert D. Woolley,1998-09-22,1998-09-22,1999-11-23,1999-11-23,https://patents.google.com/patent/US5991351A/en,https://patentimages.storage.googleapis.com/b5/60/9e/a8b101edbd1012/US5991351-drawings-page-2.png
DE-19846123-A1,"Fusion reactor comprises magnetic bottle and particle accelerator which fires ions into plasma at the poles, to produce material wave front ",Mueller Franz,,1998-10-07,1998-10-07,2000-04-27,,https://patents.google.com/patent/DE19846123A1/en,
JP-2999760-B2,Method for producing beryllium-copper alloy HIP joint and HIP joint ,日本碍子株式会社,孝治 岩立,1998-02-05,1998-10-16,2000-01-17,2000-01-17,https://patents.google.com/patent/JP2999760B2/en,
JP-H11285859-A,Manufacture of hip joined body between beryllium and copper alloy and hip joined body ,"Ngk Insulators Ltd, 日本碍子株式会社","Koji Iwatate, 孝治 岩立",1998-02-05,1998-10-16,1999-10-19,,https://patents.google.com/patent/JPH11285859A/en,
US-6411666-B1,"Method and apparatus to produce and maintain a thick, flowing, liquid lithium first wall for toroidal magnetic confinement DT fusion reactors ",The United States Of America As Represented By The United States Department Of Energy,Robert D. Woolley,1998-10-21,1998-10-21,2002-06-25,2002-06-25,https://patents.google.com/patent/US6411666B1/en,https://patentimages.storage.googleapis.com/ff/e7/9f/74abdf5c1d1f0c/US6411666-drawings-page-2.png
FR-2785139-A1,High power high frequency calorimetric load for gyrotrons. ,Thomson Tubes Electroniques,"Cecile Tran, Jean Paul Nesa",1998-10-23,1998-10-23,2000-04-28,,https://patents.google.com/patent/FR2785139A1/en,
FR-2785139-B1,OVERSIZED CONTINUOUS HIGH POWER MICROWAVE LOAD AND ITS USE AS A CALORIMETER ,Thomson Tubes Electroniques,"Cecile Tran, Jean Paul Nesa",1998-10-23,1998-10-23,2004-07-16,2004-07-16,https://patents.google.com/patent/FR2785139B1/en,
CN-1294742-A,Inertial electrostatic confinement (IEC) fusion device with gate-valve pulsing ,伊利诺伊大学受托管理委员会,"乔治·H·米利, 布赖恩·E·朱克齐克, 顾亦斌, 罗伯特·A·斯塔伯斯, 迈克尔·J·威廉斯",1997-11-12,1998-11-12,2001-05-09,,https://patents.google.com/patent/CN1294742A/en,https://patentimages.storage.googleapis.com/51/7f/c0/2f9f48a5f0e1d6/9881302300181.png
EE-200000528-A,Apparatus and method for generating high ion current pulses in an inertial electrostatic arrestor ,The Board Of Trustees Of The University Of Illinois,"H. Miley George, E. Jurczyk Brian, Gu Yibin, A. Stubbers Robert, J. Williams Michael",1997-11-12,1998-11-12,2002-02-15,,https://patents.google.com/patent/EE200000528A/en,
IL-136099-A0,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,Univ Illinois,,1997-11-12,1998-11-12,2001-05-20,,https://patents.google.com/patent/IL136099A0/en,
KR-20010032046-A,Inertial electrostatic confinement fusion device with gate-valve pulsing ,"추후제출, 보드 오브 트러스티스 오브 유니버스티 오브 일리노이즈","죠지 에이치 밀레이, 브라이언 이. 주르치크, 이빈 구, 로버트 에이. 스터버스, 마이클 제이. 윌리암스",1997-11-12,1998-11-12,2001-04-16,,https://patents.google.com/patent/KR20010032046A/en,
EP-1048038-A2,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,The Board of Trustees for the University of Illinois,"George H. Miley, Brian Edward Jurczyk, Yibin Gu, Robert A. Stubbers, Michael J. Williams",1997-11-12,1998-11-12,2000-11-02,,https://patents.google.com/patent/EP1048038A2/en,
CA-2310071-A1,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,"George H. Miley, Brian E. Jurczyk, The Board Of Trustees Of The University Of Illinois, Michael J. Williams, Yibin Gu, Robert A. Stubbers","George H. Miley, Brian E. Jurczyk, Michael J. Williams, Yibin Gu, Robert A. Stubbers",1997-11-12,1998-11-12,1999-05-20,,https://patents.google.com/patent/CA2310071A1/en,
HU-0100180-A2,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,The Board Of Trustees Of The University Of Illinois,"Yibin Gu, Brian E. Jurczyk, George H. Miley, Robert A. Stubbers, Michael J. Wiliams",1997-11-12,1998-11-12,2001-07-30,,https://patents.google.com/patent/HU0100180A2/en,
WO-9924990-A3,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,"George H Miley, Brian E Jurczyk, Yibin Gu, Robert A Stubbers, Michael J Williams","George H Miley, Brian E Jurczyk, Yibin Gu, Robert A Stubbers, Michael J Williams",1997-11-12,1998-11-12,1999-09-23,,https://patents.google.com/patent/WO1999024990A3/en,
AU-1995899-A,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,"Board Of Trustees Of The University Of Illinois, The","Yibin Gu, Brian E. Jurczyk, George H Miley, Robert A. Stubbers, Michael J Williams",1997-11-12,1998-11-12,1999-05-31,,https://patents.google.com/patent/AU1995899A/en,
WO-9924990-A2,Inertial electrostatic confinement (iec) fusion device with gate-valve pulsing ,The Board Of Trustees Of The University Of Illinois,"George H. Miley, Brian E. Jurczyk, Yibin Gu, Robert A. Stubbers, Michael J. Williams",1997-11-12,1998-11-12,1999-05-20,,https://patents.google.com/patent/WO1999024990A2/en,
JP-2001523010-A,Inertial electrostatic confinement (IEC) fusion device and method with gate valve pulsation ,ザ・ボード・オブ・トラスティーズ・オブ・ザ・ユニバーシティ・オブ・イリノイ,"エイチ． ミレイ，ジョージ, イー． ジャークジーク，ブライアン, グー，イービン, エイ． スタバーズ，ロバート, ジェイ． ウィリアムズ，マイケル",1997-11-12,1998-11-12,2001-11-20,,https://patents.google.com/patent/JP2001523010A/en,
FR-2789216-A1,ELECTRIC POWER GENERATOR ,Marie G R P,Georges Robert Pierre Marie,1999-02-01,1999-02-01,2000-08-04,,https://patents.google.com/patent/FR2789216A1/en,
FR-2789216-B1,ELECTRIC POWER GENERATOR ,Marie G R P,Georges Robert Pierre Marie,1999-02-01,1999-02-01,2001-03-30,2001-03-30,https://patents.google.com/patent/FR2789216B1/en,
US-6164524-A,HIP-bonded body and method of producing the same ,"Ngk Insulators, Ltd.",Takaharu Iwadachi,1998-02-05,1999-02-02,2000-12-26,2000-12-26,https://patents.google.com/patent/US6164524A/en,
FR-2789090-B1,AMAGNETIC STAINLESS STEEL FOR USE AT VERY LOW TEMPERATURE AND NEUTRON RESISTANT AND USE ,Creusot Loire,Jacques Fouel,1999-02-02,1999-02-02,2001-03-02,2001-03-02,https://patents.google.com/patent/FR2789090B1/en,
FR-2789090-A1,AMAGNETIC STAINLESS STEEL FOR USE AT VERY LOW TEMPERATURE AND NEUTRON RESISTANT AND USE ,Creusot Loire,Jacques Fouel,1999-02-02,1999-02-02,2000-08-04,,https://patents.google.com/patent/FR2789090A1/en,
DE-69913998-D1,Bodies connected by hot isostatic pressing and its manufacturing process ,Ngk Insulators Ltd,Takaharu Iwadachi,1998-02-05,1999-02-04,2004-02-12,2004-02-12,https://patents.google.com/patent/DE69913998D1/en,
EP-0934798-B1,Hip-bonded body and method of producing the same ,"Ngk Insulators, Ltd.",Takaharu Iwadachi,1998-02-05,1999-02-04,2004-01-07,2004-01-07,https://patents.google.com/patent/EP0934798B1/en,
EP-0934798-A1,Hip-bonded body and method of producing the same ,"Ngk Insulators, Ltd.",Takaharu Iwadachi,1998-02-05,1999-02-04,1999-08-11,,https://patents.google.com/patent/EP0934798A1/en,
DE-69913998-T2,Bodies connected by hot isostatic pressing and its manufacturing process ,"Ngk Insulators, Ltd., Nagoya",Takaharu Handa-city Iwadachi,1998-02-05,1999-02-04,2004-12-09,2004-12-09,https://patents.google.com/patent/DE69913998T2/en,
DE-19908769-A1,"Stimulated nuclear fusion, for energy recovery, is induced using beam of gamma quanta of energy corresponding to binding energy released as gamma quantum on target nuclei fusion ",Michael Dueren,Michael Dueren,1999-02-17,1999-02-17,2000-08-24,,https://patents.google.com/patent/DE19908769A1/en,
WO-9945544-A1,"Holography fusion reactor bin for semiconductor laser array tunable oscillation hologram jointly using semiconductor laser array turnable oscillation hologram bin and gravitational wave, method for gravitational wave holography and apparatus therefor ",Jun Toyama,Jun Toyama,1998-02-18,1999-02-18,1999-09-10,,https://patents.google.com/patent/WO1999045544A1/en,
AU-4480399-A,"Holography fusion reactor bin for semiconductor laser array tunable oscillation hologram jointly using semiconductor laser array turnable oscillation hologram bin and gravitational wave, method for gravitational wave holography and apparatus therefor ",Jun Toyama,Jun Toyama,1998-02-18,1999-02-18,1999-09-20,,https://patents.google.com/patent/AU4480399A/en,
DE-19910146-B4,Apparatus for generating collisions of opposing ion bundles ,"Bakal, Semen, Dr.",Semen Bakal,1998-03-31,1999-02-26,2006-08-10,2006-08-10,https://patents.google.com/patent/DE19910146B4/en,
DE-19910146-A1,"Energy production by controlled nuclear fusion, which does not require complicated plasma containment systems, comprises using ion bundles which run in opposite directions ",Semen Bakal,Semen Bakal,1998-03-31,1999-02-26,2000-03-02,,https://patents.google.com/patent/DE19910146A1/en,
DE-19911386-A1,Nuclear fusion reaction comprises using a single exchange step of the driving pulse with the plasma of the nuclear fusion material ,Heinrich Hora,"Heinrich Hora, Sadao Nakai",1999-03-15,1999-03-15,2000-09-21,,https://patents.google.com/patent/DE19911386A1/en,
GB-9906962-D0,Extraterrestrial pulsed nuclear power plant ,Ustinow Nikolai,,1999-03-26,1999-03-26,1999-05-19,,https://patents.google.com/patent/GB9906962D0/en,
GB-2348313-A,An extraterrestrial pulsed nuclear power plant ,Nikolai Ustinow,Nikolai Ustinow,1999-03-26,1999-03-26,2000-09-27,,https://patents.google.com/patent/GB2348313A/en,
GB-2348313-B,Extraterrestrial pulsed nuclear power plant ,Nikolai Ustinow,Nikolai Ustinow,1999-03-26,1999-03-26,2003-08-13,2003-08-13,https://patents.google.com/patent/GB2348313B/en,
WO-9956521-A2,Method and apparatus for the production of neutrons and other particles ,"American Technologies Group, Inc.",Shui-Yin Lo,1998-05-06,1999-04-28,1999-11-11,,https://patents.google.com/patent/WO1999056521A2/en,
JP-2002514740-A,Methods and apparatus for producing neutrons and other particles ,アメリカン  テクノロジーズ  グループ  インコーポレイテッド,シュイ  イン ロー,1998-05-06,1999-04-28,2002-05-21,,https://patents.google.com/patent/JP2002514740A/en,
WO-9956521-A3,Method and apparatus for the production of neutrons and other particles ,American Tech Group,Shui-Yin Lo,1998-05-06,1999-04-28,2000-06-29,,https://patents.google.com/patent/WO1999056521A3/en,
EP-1082727-A2,Method and apparatus for the production of neutrons and other particles ,American Technologies Group Inc.,Shui-Yin Lo,1998-05-06,1999-04-28,2001-03-14,,https://patents.google.com/patent/EP1082727A2/en,
CA-2328621-A1,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,1999-11-04,,https://patents.google.com/patent/CA2328621A1/en,
JP-2002527719-A,Method and apparatus for compressing a Bose-Einstein condensate of atoms ,ラワー、ハーゼル,ラワー、ハーゼル,1998-04-29,1999-04-29,2002-08-27,,https://patents.google.com/patent/JP2002527719A/en,
EP-1082726-A2,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,2001-03-14,,https://patents.google.com/patent/EP1082726A2/en,
WO-9956284-A2,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,1999-11-04,,https://patents.google.com/patent/WO1999056284A2/en,
EP-1082726-A4,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,2001-10-31,,https://patents.google.com/patent/EP1082726A4/en,
WO-9956284-A3,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,2000-10-12,,https://patents.google.com/patent/WO1999056284A3/en,
US-2005129159-A1,Method and apparatus for compressing a bose-einstein condensate of atoms ,Condensate Energy Llc,Herzel Laor,1999-04-29,1999-04-29,2005-06-16,,https://patents.google.com/patent/US20050129159A1/en,https://patentimages.storage.googleapis.com/b6/d3/2e/42487925c28768/US20050129159A1-drawings-page-2.png
AU-5202699-A,Method and apparatus for compressing a bose-einstein condensate of atoms ,Herzel Laor,Herzel Laor,1998-04-29,1999-04-29,1999-11-16,,https://patents.google.com/patent/AU5202699A/en,
DE-19920387-A1,Releasing energy using controlled nuclear fusion involves use of plasma chamber having plasma which operates with specific energy ,H Juergen Andrae,H Juergen Andrae,1999-04-29,1999-04-29,2000-11-30,,https://patents.google.com/patent/DE19920387A1/en,
DE-29924047-U1,Arrangement for a nuclear fusion reactor ,Gangkofner Max,,1999-05-12,1999-05-12,2002-03-07,,https://patents.google.com/patent/DE29924047U1/en,
DE-19922027-A1,"Arrangement for a nuclear fusion reactor comprises a first reactor for production of a first plasma, and least one work reactor which is in contact with a working medium serving for heat transport ",Max Gangkofner,Max Gangkofner,1999-05-12,1999-05-12,2000-11-30,,https://patents.google.com/patent/DE19922027A1/en,
AT-3834-U1,THERMALLY HIGH-STRENGTH COMPONENT ,Plansee Ag,,1999-05-21,1999-05-21,2000-08-25,,https://patents.google.com/patent/AT3834U1/en,
DE-19925555-A1,Releasing energy using controlled nuclear fusion involves use of plasma chamber having plasma which operates with specific energy ,Andrae Juergen,,1999-04-29,1999-06-02,2001-02-15,,https://patents.google.com/patent/DE19925555A1/en,
JP-2000356695-A,Cesium introduction device in neutral particle incident device ,"Japan Atom Energy Res Inst, 日本原子力研究所","Haruyuki Yamazaki, 山▲崎▼晴幸, Takao Ito, 孝雄 伊藤, Katsutomi Usui, 勝富 薄井, Kazuhiko Mogaki, 和彦 藻垣",1999-06-15,1999-06-15,2000-12-26,,https://patents.google.com/patent/JP2000356695A/en,
JP-4123639-B2,Cesium introduction device in neutral particle injector ,独立行政法人  日本原子力研究開発機構,"山▲崎▼晴幸, 孝雄 伊藤, 勝富 薄井, 和彦 藻垣",1999-06-15,1999-06-15,2008-07-23,2008-07-23,https://patents.google.com/patent/JP4123639B2/en,https://patentimages.storage.googleapis.com/f8/9b/ae/0c9ad8d2f5a10a/0004123639-2.png
EP-1063871-A1,"Divertorfiltering element for a tokamak nuclear fusion reactor, divertor employing the filtering element and tokamak nuclear fusion reactor employing the divertor ",European Community,"Roberto Matera, Jean Boscary, Carlo Cazzola",1999-06-24,1999-06-24,2000-12-27,,https://patents.google.com/patent/EP1063871A1/en,https://patentimages.storage.googleapis.com/63/8c/17/506656c5739302/00240001.png
DE-19929683-A1,Power generating machine with high power output ,Selim Joseph Mourad,Selim Joseph Mourad,1999-06-28,1999-06-28,2000-01-20,,https://patents.google.com/patent/DE19929683A1/en,
CA-2339238-A1,Method and apparatus for extracting hydrogen isotopes from a liquid pb-17li eutectic in a fusion reactor ,"Louis Angel Sedano, European Community",Louis Angel Sedano,1998-08-03,1999-07-19,2000-02-17,,https://patents.google.com/patent/CA2339238A1/en,
WO-0007703-A1,METHOD AND APPARATUS FOR EXTRACTING HYDROGEN ISOTOPES FROM A LIQUID Pb-17Li EUTECTIC IN A FUSION REACTOR ,European Community (Ec),Louis Angel Sedano,1998-08-03,1999-07-19,2000-02-17,,https://patents.google.com/patent/WO2000007703A1/en,
JP-2002522197-A,Method and apparatus for extracting hydrogen isotope from liquid Pb-17Li eutectic in fusion reactor ,ユーロピーアン  コンミュニティ  （エセ）,ルイス  アンジェル セダーノ,1998-08-03,1999-07-19,2002-07-23,,https://patents.google.com/patent/JP2002522197A/en,
CA-2278925-A1,Sustainable plasma fusion process ,Tom Prendivoj,Tom Prendivoj,1999-07-27,1999-07-27,2001-01-27,,https://patents.google.com/patent/CA2278925A1/en,
DE-19944776-A1,Process for tritium decontamination of the first wall of a nuclear fusion device ,Karlsruhe Forschzent,,1999-09-17,1999-09-17,2001-04-12,,https://patents.google.com/patent/DE19944776A1/en,
DE-19944776-C2,Process for tritium decontamination of the first wall of a nuclear fusion device ,Karlsruhe Forschzent,"Ralf-Dieter Penzhorn, Nikolas Bekris, Hans Hemmerich",1999-09-17,1999-09-17,2003-06-18,2003-06-18,https://patents.google.com/patent/DE19944776C2/en,
EP-1123567-B1,Oversized microwave load for continuous high power and its use as calorimeter ,Thales Electron Devices S.A.,"Cécile Thomson-CSF Prop. Intellectuelle TRAN, Jean-Paul Thomson-CSF Prop. Intellectuelle NESA",1998-10-23,1999-10-12,2003-06-11,2003-06-11,https://patents.google.com/patent/EP1123567B1/en,https://patentimages.storage.googleapis.com/23/53/cf/9cd90ced67068a/00160001.png
DE-69908801-D1,OVER-DIMENSIONED HIGH-FREQUENCY ABSORBER FOR HIGH PERMANENT PERFORMANCE AND ITS USE AS A CALORIMETER ,Thales Electron Devices Sa,"Cecile Tran, Jean-Paul Nesa",1998-10-23,1999-10-12,2003-07-17,2003-07-17,https://patents.google.com/patent/DE69908801D1/en,
WO-0025384-A1,Oversized microwave load of high power direct current and use as calorimeter ,Thomson Tubes Electroniques,"Cécile TRAN, Jean-Paul Nesa",1998-10-23,1999-10-12,2000-05-04,,https://patents.google.com/patent/WO2000025384A1/en,
DE-69908801-T2,OVER-DIMENSIONED HIGH-FREQUENCY ABSORBER FOR HIGH PERMANENT PERFORMANCE AND ITS USE AS A CALORIMETER ,Thales Electron Devices S.A.,"Cecile Tran, Jean-Paul Nesa",1998-10-23,1999-10-12,2004-05-06,2004-05-06,https://patents.google.com/patent/DE69908801T2/en,
EP-1123567-A1,Oversized microwave load of high power direct current and use as calorimeter ,Thomson Tubes Electroniques,"Cécile Thomson-CSF Prop. Intellectuelle TRAN, Jean-Paul Thomson-CSF Prop. Intellectuelle NESA",1998-10-23,1999-10-12,2001-08-16,,https://patents.google.com/patent/EP1123567A1/en,
AT-E242920-T1,OVERSIZED HIGH FREQUENCY ABSORBER FOR HIGH CONTINUOUS PERFORMANCE AND ITS USE AS A CALORIMETER ,Thales Electron Devices Sa,"Cecile Tran, Jean Paul Nesa",1998-10-23,1999-10-12,2003-06-15,2003-06-15,https://patents.google.com/patent/ATE242920T1/en,
ES-2201776-T3,LOAD OF OVERDIMENSED HYPERFREQUENCY OF GREAT CONTINUOUS POWER AND ITS USE AS CALORIMETER. ,Thales Electron Devices S.A.,"Cecile Thomson-Csf Prop. Intellectuelle Tran, Jean-Paul Thomson-CSF Prop. Intellectuelle NESA",1998-10-23,1999-10-12,2004-03-16,2004-03-16,https://patents.google.com/patent/ES2201776T3/en,
AU-1209400-A,Production of magnetic fields and heat by photon or subatomic particle infusion ,Michael S. Meyer,Michael S. Meyer,1998-09-21,1999-10-15,2001-04-30,,https://patents.google.com/patent/AU1209400A/en,
WO-0129906-A1,Production of magnetic fields and heat by photon or subatomic particle infusion ,Meyer Michael S,Michael S. Meyer,1998-09-21,1999-10-15,2001-04-26,,https://patents.google.com/patent/WO2001029906A1/en,
FR-2789217-B1,ELECTRIC POWER GENERATOR ,Pierre Marie,Pierre Marie,1999-02-01,2000-01-18,2001-09-14,2001-09-14,https://patents.google.com/patent/FR2789217B1/en,
FR-2789217-A1,Electrical power generator uses electron 'needles' fired from plasma produced by passing pulsed laser beam through deuterium-hydrogen mixture ,Pierre Marie,Pierre Marie,1999-02-01,2000-01-18,2000-08-04,,https://patents.google.com/patent/FR2789217A1/en,
WO-0046811-A1,Electric power generator ,Marie Pierre,Pierre MARIÉ,1999-02-01,2000-01-26,2000-08-10,,https://patents.google.com/patent/WO2000046811A1/en,
CA-2361702-C,Non-magnetic stainless steel for use at very low temperature and resistant to neutrons and use ,"Creusot-Loire Industrie, Jacques Fouel",Jacques Fouel,1999-02-02,2000-02-02,2009-09-22,2009-09-22,https://patents.google.com/patent/CA2361702C/en,
AU-2302000-A,Non-magnetic stainless steel for use at very low temperature and resistant to neutrons and use ,Creusot Loire Industrie,Jacques Fouel,1999-02-02,2000-02-02,2000-08-25,,https://patents.google.com/patent/AU2302000A/en,
EP-1155160-A1,Non-magnetic stainless steel for use at very low temperature and resistant to neutrons and use ,Creusot-Loire Industrie,Jacques Fouel,1999-02-02,2000-02-02,2001-11-21,,https://patents.google.com/patent/EP1155160A1/en,
DE-60002677-T2,"Non-magnetic, neutron-resistant steel for use at very low temperatures and uses ",Creusot Metal,Jacques Fouel,1999-02-02,2000-02-02,2004-04-22,2004-04-22,https://patents.google.com/patent/DE60002677T2/en,
DE-60002677-D1,NEUTRON RESISTANT STAINLESS STEEL NON-MAGNETIC STEEL FOR USE AT VERY LOW TEMPERATURE AND USE ,Usinor Industeel France Puteau,Jacques Fouel,1999-02-02,2000-02-02,2003-06-18,2003-06-18,https://patents.google.com/patent/DE60002677D1/en,
